prompt,question,options,answer,gpt4_label
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Infrared (IR) spectroscopy is useful for determining certain aspects of the structure of organic molecules because,"['0. all molecular bonds absorb IR radiation', '1. IR peak intensities are related to molecular mass', '2. most organic functional groups absorb in a characteristic region of the IR spectrum', '3. each element absorbs at a characteristic wavelength']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","After three sessions with a therapy client, Dr. Leonard Lykowski realizes that he’s feeling somewhat hostile toward the client because she reminds him of his wife who he’s currently divorcing. Dr. Lykowski’s best course of action would be to:","['0. refer the client to another therapist without telling the client the reason for the referral.', '1. refer the client to another therapist after discussing the reason with her.', '2. recognize that his feelings are the result of countertransference and continue to work with the client.', '3. consult with another psychologist to determine whether or not to continue seeing the client in therapy.']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",How are arenaviruses spread?,"['0. Sexual contact', '1. Blood', '2. Aerosols of urine from infected small mammals', '3. Mosquito bites']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",With an increasing number of sprints the:,"['0. anaerobic contribution progressively increases.', '1. pH of the muscle falls below 6.0.', '2. blood glucose concentration falls below 3 mmol/L.', '3. relative contribution of aerobic metabolism increases.']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Which case was the first to define the meaning of the doctrine of 'margin of appreciation' as applied by the European Court of Human Rights?,"['0. Goodwin v UK (2002)', '1. Airey v Ireland (1979)', '2. Osman v UK ( 1998)', '3. Handyside v UK (1976)']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}", Which of the following does the Qur'an permit?,"['0. Honor Killing', '1. Stoning', '2. Adultery', '3. Polygyny']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","This question refers to the following information.
""And then Shapur, King of Kings, passed away. Then his son Hormizd, King of Kings, rose over the empire. And Hormizd, King of Kings, conferred on me cap and belt and created for me a higher rank and dignity, and at court and in kingdom after kingdom, place after place, throughout the whole empire he gave me more authority and power in matters of the divine services, and created for me the title ""Kerdir, Ahura Mazda's [Chief Priest]"" after the name of Ahura Mazda, the Deity. And thereupon in kingdom after kingdom, place after place, many divine services were performed in magnificence, and many Warham fires were established, and many magi became happy and prosperous, and many fires and magi were imperially installed…
And then Hormizd, King of Kings, passed away. Then Bahram, King of Kings, son of Shapur, King of Kings, and brother of Hormizd, King of Kings, rose over the empire. And Bahram, King of Kings, also held me in high honor and dignity and at court and in kingdom after kingdom, place after place, gave me authority and power for divine services of every sort. And thereupon in kingdom after kingdom, place after place, many divine services were performed in magnificence and many Warharan fires were established, and many magi became happy and prosperous, and many fires and magi were imperially installed…
And in kingdom after kingdom and place after place throughout the whole empire the services of Ahura Mazda and the gods became preeminent, and great dignity came to the Mazdayanian religion and the magi in the empire, and the gods and water and fire and small cattle in the empire attained great satisfaction, while Ahriman [the evil counterpart to Ahura Mazda] and the demons were punished and rebuked, and the teachings of Ahriman and the demons departed from the empire and were abandoned. And Jews, Buddhists, Hindus, Nasoreans [Orthodox Christians], Christians, Maktak [Baptists], and Manichaeans in the empire were smitten, and destruction of idols and scattering of the stores of the demons and god-seats and nests was abandoned.""
Excerpt from the inscription of Kerdir at Naqsh-e-Rustam, Persia, late third century C.E.
The source best supports which of the following inferences about sources of political authority in the period circa 600 B.C.E.–600 C.E.?","['0. Rulers derived legitimacy for their rule by their sponsorship of religion and chief priests.', '1. Rulers were limited in their political authority by powerful religious figures.', '2. Rulers derived legitimacy for their rule through victories over foreign peoples.', '3. Rulers derived legitimacy for their rule through the consent of those they governed.']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","A previously healthy 27-year-old nulligravid woman comes to the emergency department because of a 2-day history of moderate-to-severe pain and swelling of the left labia. She is sexually active and uses condoms inconsistently. Her temperature is 37.2°C (99°F), pulse is 92/min, respirations are 18/min, and blood pressure is 115/75 mm Hg. Pelvic examination shows a 4 x 3-cm, tender, fluctuant mass medial to the left labium majus compromising the introital opening. Which of the following is the most appropriate next step in management?","['0. Administration of intravenous metronidazole', '1. Administration of intravenous penicillin G', '2. Ultrasound-guided needle aspiration of the mass', '3. Incision and drainage']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I went to the farm to see the chickens. Scenario 2 | I was playing cartoon movies in front of my kids.","['0. Wrong, Wrong', '1. Wrong, Not wrong', '2. Not wrong, Wrong', '3. Not wrong, Not wrong']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","In a classroom setting, behaviors that are overt, lack a clear-cut beginning and end, and occur with moderate frequency, are best assessed by which of the following types of observational recording techniques","['0. Event', '1. Interval', '2. Rating', '3. Narrative']",1,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}", What is the name of a recent revivalist movement in Turkey led by Fetullah Gülen?,"['0. Hizmet', '1. Nation of Islam', '2. Muslim Brotherhood', '3. Sufism']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}"," Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
J ≡ ~K
J ∨ L
~K / L","['0. Valid', '1. Invalid. Counterexample when J and K are true and L is false', '2. Invalid. Counterexample when J is true and K and L are false', '3. Invalid. Counterexample when K is true and J and L are false']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I found the answer to the test problem by looking for context clues. Scenario 2 | I dried the fine china with a towel.","['0. Wrong, Wrong', '1. Wrong, Not wrong', '2. Not wrong, Wrong', '3. Not wrong, Not wrong']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",In which of the following situations would there be inelastic demand?,"['0. A 5% price increase results in a 3% decrease in the quantity demanded.', '1. A 4% price increase results in a 6% decrease in the quantity demanded.', '2. A 4% price increase results in a 4% decrease in the quantity demanded.', '3. A 3% price decrease results in a 5% increase in the quantity demanded.']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}"," John considers what Mary has done and thinks to himself, Mary did the right thing. This thought is primarily a judgment about","[""0. Mary's upbringing."", '1. an action Mary performed.', ""2. Mary's moral character."", '3. what John thinks he would have done.']",1,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Which of the following events has no effect on GDP?,"['0. You buy a 1957 Chevy from a friend.', '1. The Department of Transportation repaves a road.', ""2. Your friends make a music CD that doesn't sell any copies."", '3. A college buys computers.']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","Statement 1 | For any two groups G and G', there exists a homomorphism of G into G'. Statement 2 | Every homomorphism is a one-to-one map.","['0. True, True', '1. False, False', '2. True, False', '3. False, True']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","To Kant, making a lying promise would be wrong because _____.","['0. lying to people can cause them harm', '1. lying to people harms society', '2. you could not consistently will that everyone should make lying promises', '3. most people condemn the practice']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","Different less developed countries have different levels of secondary school enrollment. Some countries with high secondary-school enrollment are, as of 2020,","['0. Colombia, Peru, Uruguay, and Costa Rica.', '1. Bhutan, Niger, Cambodia, and Costa Rica.', '2. Uruguay, Costa Rica, Timor-Leste, and Pakistan.', '3. Bhutan, Cambodia, Uruguay and Costa Rica.']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","A landlord, the owner of a large, high-rise apartment building in the city, leased a three-bedroom apartment in the building to a husband and wife. The written lease agreement specified that rent should be paid at a rate of $2,000 per month and provided that the tenants were required to pay two months rent initially, of which one half, or $2,000, should be held by the landlord as a security deposit. In addition, the lease contained the following provision:""The duration of this lease shall be month-to-month and either party may have the right to terminate on thirty (30) days notice. ""The lease agreement did not specify whether notice of termination must be in writing, but it did provide that the deposit could be applied, at the landlord's option, to unpaid rent and to reimbursement for damage done by the tenant(s) to the apartment or the fixtures attached thereto. On January 1, the husband and wife paid the landlord $4,000 and moved in. The tenants then paid the $2,000 rent on the first of each of the months of February, March, and April, and all rents were duly accepted by the landlord. On February 1, the city enacted a housing code applicable to all multiple dwellings in the city. A provision of that code required that in ""any building having a main or central entrance that is open and accessible to the public directly from a public street, a doorkeeper shall be maintained on duty at all times. "" Although the landlord's building has such an entrance, the landlord failed to comply with the requirement. On March 15 and again on April 1, the husband and wife lodged complaints with the city's housing authority relating to the landlord's failure to hire a doorkeeper in violation of the code regulation. On April 5, the landlord orally gave notice to the tenants that he was terminating the lease and demanded that they vacate the premises by May 5. No damage was done to the apartment, furnishings, or fixtures. There is no statute applicable to cover any landlord tenant dispute except those related to housing and building codes. In the landlord's action to evict, the husband and wife have contested the landlord's right to terminate on May 5. If the tenants prevail, it will probably be because","['0. there was no damage to the apartment, furnishings, or fixtures.', '1. the statute of frauds requires that the notice of termination be in writing.', '2. the jurisdiction recognizes that retaliatory actions are a defense.', ""3. the husband and wife have the option to apply their $2,000 deposit to cover May's rental.""]",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","A researcher grows a population of ferns in her laboratory. She notices, after a few generations, a new variant that has a distinct phenotype. When she tries to breed the original phenotype with the new one, no offspring are produced. When she breeds the new variants, however, offspring that look like the new variant result. What originally caused the change in the variant?","['0. Karyotyping', '1. Balance polymorphism', '2. Mutation', '3. Polyploidy']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",The American flag is usually made with its width and length in the ratio of 10 to 19. Which dimensions are in the correct ratio for the flag?,"['0. 30 ft by 53 ft', '1. 27 ft by 53 ft', '2. 27 in. by 57 in.', '3. 30 in. by 57 in.']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",In what ways can a distinction be made between limited force and full-scale force?,"['0. The distinction between limited force and full-scale force is the second process of coercive diplomacy. Coercive diplomacy only fails if the coercer fails to achieve its defined goals and fails to defeat its adversary in the second stage.', '1. Generally the distinction between brute and limited force is negligible. Resort to air or sea power constitutes an equal coercive capacity to a conventional ground offensive. Military action always results from a failure of negotiations and from a shift from the diplomatic to the military sphere.', ""2. The distinction between limited force and brute force is important because the amount of force that is used to attain the coercer's interests defines the type of outcome that is achieved. If a positive policy outcome is achieved, then we can say that limited force has been employed."", '3. The distinction between limited force and full-scale war is crucial because resort to brute force means that diplomacy has failed. The distinction is not based on the amount of force or the type, but on the purpose that the use of force seeks to accomplish and the element of choice left to the adversary. In essence, limited force is a bargaining tool.']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Which of the following best describes a key difference between the short-run and long-run aggregate supply curve?,"['0. Short-run aggregate supply is upward sloping as nominal wages quickly respond to price level changes.', '1. Long-run aggregate supply is upward sloping as nominal wages quickly respond to price level changes.', '2. Short-run aggregate supply is vertical as nominal wages quickly respond to price level changes.', '3. Short-run aggregate supply is upward sloping as nominal wages do not quickly respond to price level changes.']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",In what ways has conflict been a concern of the environmental security agenda for strong states?,"['0. Environmental change can be a cause of war between countries, largely centred on resource scarcity interrelated with conflict. There is therefore a strong connection between environmental degradation and violence; resources as strategic goals and strategic tools may cause violence if there is inequity.', '1. Population growth and its relationship to environmental degradation can lead to environmentally caused conflict. There is therefore a linear link between population growth and environmental change, and environmental change is the critical determinant in the production of violence.', '2. Common findings in research organizations investigating environmental violence have failed to find quantifiable relationships between environmental and social variables and the cause of war. Analysis of aggregated data failed to establish a common causal mechanism. The extensity of possible variables being simply too vast, mitigating any definitive relationship.', ""3. Analysis of environmental violence research shows that there is a tendency among 'strong states' to be less prone to internal violent conflicts whereas states undergoing significant economic and political transitions are more prone to violent conflict. Environmental change is unlikely to be a cause of war but can be a contributory factor.""]",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Mill claims that in deciding how to act:,"['0. we should always calculate the expected consequences of our action.', '1. we should depend on rules of thumb derived from the principle of utility.', '2. we should consult tradition.', '3. we should consult scripture.']",1,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","In conducting a study on the relationship between depression and academic achievement, you are collecting third-grade children’s self- report data and their scores on a standardized achievement test. Parents have given informed consent to allow you to assess their children, but two children tell you that they do not want to participate in the study. At this point, which of the following is your most appropriate course of action regarding these two children","['0. Since the parents have consented to participation, the children can be included in the study', '1. You can ask the teacher to discuss with the children why they do not want to participate', '2. You can obtain information about the children from the teacher, bur cannot collect the children’s self-report data', '3. The children should not be included in the study']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",What term describes a word created by rearranging the letters of another word?,"['0. onomatopoeia', '1. malapropism', '2. anagram', '3. antonym']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Which of the following must be obtained by foreigners wishing to permanently reside in the US?,"['0. visa', '1. bill of landing', ""2. driver's license"", '3. carte blanche']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Holt Co. discovered that in the prior year it failed to report $40000 of depreciation related to a newly constructed building. The depreciation was computed correctly for tax purposes. The tax rate for the current year was 20%. How should Holt report the correction of error in the current year?,"['0. As an increase in accumulated depreciation of $32000.', '1. As an increase in accumulated depreciation of $40000.', '2. As an increase in depreciation expense of $32000.', '3. As an increase of depreciation expense of $40000.']",1,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Which of the following conditions is characterized by the presence of kidney stones (renal calculi)?,"['0. Glomerulonephritis', '1. Interstitial nephritis', '2. Nephrolithiasis', '3. Polycystic kidney']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I offered my boyfriend to take a shower together. Scenario 2 | I changed my small son's diaper whenever it was dirty.","['0. Wrong, Wrong', '1. Wrong, Not wrong', '2. Not wrong, Wrong', '3. Not wrong, Not wrong']",3,QA
